"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:17 GMT 2022","291","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Mon Nov 14 11:46:41 GMT 2022","Mon Nov 14 11:46:42 GMT 2022","373","","Cookies","","","","cy.getCookies() - get browser cookies",""
"passed","Mon Nov 14 11:46:00 GMT 2022","Mon Nov 14 11:46:01 GMT 2022","1099","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Mon Nov 14 11:46:15 GMT 2022","Mon Nov 14 11:46:15 GMT 2022","487","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Mon Nov 14 11:45:59 GMT 2022","Mon Nov 14 11:46:00 GMT 2022","1097","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","158","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Mon Nov 14 11:46:59 GMT 2022","Mon Nov 14 11:46:59 GMT 2022","393","","Files","","","","cy.writeFile() - write to a file",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","151","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Mon Nov 14 11:45:58 GMT 2022","Mon Nov 14 11:45:58 GMT 2022","310","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Mon Nov 14 11:46:42 GMT 2022","Mon Nov 14 11:46:42 GMT 2022","267","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Mon Nov 14 11:46:51 GMT 2022","Mon Nov 14 11:46:51 GMT 2022","161","","Cypress.spec","","","","Get current spec information",""
"passed","Mon Nov 14 11:47:33 GMT 2022","Mon Nov 14 11:47:35 GMT 2022","1372","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Mon Nov 14 11:46:49 GMT 2022","Mon Nov 14 11:46:49 GMT 2022","157","","Cypress.Cookies","","","",".defaults() - set defaults for all cookies",""
"passed","Mon Nov 14 11:48:26 GMT 2022","Mon Nov 14 11:48:27 GMT 2022","547","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Mon Nov 14 11:47:21 GMT 2022","Mon Nov 14 11:47:21 GMT 2022","547","","Misc","","","",".end() - end the command chain",""
"passed","Mon Nov 14 11:48:07 GMT 2022","Mon Nov 14 11:48:07 GMT 2022","27","","Spies, Stubs, and Clock","","","","matches call arguments using Sinon matchers",""
"passed","Mon Nov 14 11:48:17 GMT 2022","Mon Nov 14 11:48:18 GMT 2022","191","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Mon Nov 14 11:48:15 GMT 2022","Mon Nov 14 11:48:15 GMT 2022","301","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Mon Nov 14 11:48:58 GMT 2022","Mon Nov 14 11:48:59 GMT 2022","126","","Window","","","","cy.title() - get the title",""
"passed","Mon Nov 14 11:45:41 GMT 2022","Mon Nov 14 11:45:41 GMT 2022","453","","example to-do app","","","","can add new todo items",""
"passed","Mon Nov 14 11:46:50 GMT 2022","Mon Nov 14 11:46:50 GMT 2022","308","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Mon Nov 14 11:48:26 GMT 2022","Mon Nov 14 11:48:26 GMT 2022","360","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Mon Nov 14 11:46:02 GMT 2022","Mon Nov 14 11:46:04 GMT 2022","2195","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Nov 14 11:47:56 GMT 2022","Mon Nov 14 11:47:56 GMT 2022","148","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Mon Nov 14 11:47:56 GMT 2022","Mon Nov 14 11:47:57 GMT 2022","754","","Querying","","","","best practices - selecting elements",""
"passed","Mon Nov 14 11:45:58 GMT 2022","Mon Nov 14 11:45:59 GMT 2022","1025","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Mon Nov 14 11:47:26 GMT 2022","Mon Nov 14 11:47:26 GMT 2022","164","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Mon Nov 14 11:45:41 GMT 2022","Mon Nov 14 11:45:41 GMT 2022","239","","example to-do app","","","","can check off an item as completed",""
"passed","Mon Nov 14 11:47:14 GMT 2022","Mon Nov 14 11:47:14 GMT 2022","440","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Mon Nov 14 11:48:18 GMT 2022","Mon Nov 14 11:48:18 GMT 2022","185","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Mon Nov 14 11:47:14 GMT 2022","Mon Nov 14 11:47:14 GMT 2022","133","","Location","","","","cy.url() - get the current URL",""
"passed","Mon Nov 14 11:46:15 GMT 2022","Mon Nov 14 11:46:16 GMT 2022","758","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Mon Nov 14 11:47:06 GMT 2022","Mon Nov 14 11:47:07 GMT 2022","851","","Local Storage","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Mon Nov 14 11:46:49 GMT 2022","Mon Nov 14 11:46:49 GMT 2022","171","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Mon Nov 14 11:48:03 GMT 2022","Mon Nov 14 11:48:06 GMT 2022","2520","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Mon Nov 14 11:47:22 GMT 2022","Mon Nov 14 11:47:22 GMT 2022","371","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Mon Nov 14 11:47:55 GMT 2022","Mon Nov 14 11:47:55 GMT 2022","542","","Querying","","","","cy.get() - query DOM elements",""
"passed","Mon Nov 14 11:47:44 GMT 2022","Mon Nov 14 11:47:44 GMT 2022","598","","Network Requests","","","","cy.request() with query parameters",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","178","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Mon Nov 14 11:45:53 GMT 2022","Mon Nov 14 11:45:53 GMT 2022","324","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Mon Nov 14 11:48:14 GMT 2022","Mon Nov 14 11:48:14 GMT 2022","156","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Mon Nov 14 11:45:42 GMT 2022","Mon Nov 14 11:45:42 GMT 2022","354","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Mon Nov 14 11:45:49 GMT 2022","Mon Nov 14 11:45:53 GMT 2022","3994","","Actions","","","",".type() - type into a DOM element",""
"passed","Mon Nov 14 11:48:03 GMT 2022","Mon Nov 14 11:48:03 GMT 2022","432","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Mon Nov 14 11:46:34 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","139","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Mon Nov 14 11:48:45 GMT 2022","Mon Nov 14 11:48:50 GMT 2022","5050","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Mon Nov 14 11:48:50 GMT 2022","Mon Nov 14 11:48:51 GMT 2022","674","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Mon Nov 14 11:45:41 GMT 2022","Mon Nov 14 11:45:42 GMT 2022","309","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Nov 14 11:47:56 GMT 2022","Mon Nov 14 11:47:56 GMT 2022","143","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Mon Nov 14 11:46:42 GMT 2022","Mon Nov 14 11:46:42 GMT 2022","255","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Mon Nov 14 11:48:15 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","429","","Traversal","","","",".first() - get first DOM element",""
"passed","Mon Nov 14 11:48:14 GMT 2022","Mon Nov 14 11:48:15 GMT 2022","156","","Traversal","","","",".eq() - get a DOM element at a specific index",""
"passed","Mon Nov 14 11:48:58 GMT 2022","Mon Nov 14 11:48:58 GMT 2022","553","","Window","","","","cy.window() - get the global window object",""
"passed","Mon Nov 14 11:48:06 GMT 2022","Mon Nov 14 11:48:06 GMT 2022","272","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Mon Nov 14 11:46:33 GMT 2022","Mon Nov 14 11:46:33 GMT 2022","174","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Mon Nov 14 11:46:41 GMT 2022","Mon Nov 14 11:46:41 GMT 2022","592","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Mon Nov 14 11:47:21 GMT 2022","Mon Nov 14 11:47:22 GMT 2022","440","","Misc","","","","cy.exec() - execute a system command",""
"passed","Mon Nov 14 11:46:42 GMT 2022","Mon Nov 14 11:46:42 GMT 2022","163","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","252","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Mon Nov 14 11:48:25 GMT 2022","Mon Nov 14 11:48:26 GMT 2022","740","","Utilities","","","","Cypress._ - call a lodash method",""
"passed","Mon Nov 14 11:48:27 GMT 2022","Mon Nov 14 11:48:27 GMT 2022","126","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Mon Nov 14 11:47:42 GMT 2022","Mon Nov 14 11:47:43 GMT 2022","897","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Mon Nov 14 11:47:44 GMT 2022","Mon Nov 14 11:47:45 GMT 2022","840","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Mon Nov 14 11:48:18 GMT 2022","Mon Nov 14 11:48:18 GMT 2022","179","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Mon Nov 14 11:48:17 GMT 2022","Mon Nov 14 11:48:17 GMT 2022","188","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Mon Nov 14 11:46:51 GMT 2022","Mon Nov 14 11:46:51 GMT 2022","180","","Cypress.platform","","","","Get underlying OS name",""
"passed","Mon Nov 14 11:46:59 GMT 2022","Mon Nov 14 11:46:59 GMT 2022","149","","Files","","","","cy.readFile() - read file contents",""
"passed","Mon Nov 14 11:47:55 GMT 2022","Mon Nov 14 11:47:56 GMT 2022","281","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Mon Nov 14 11:46:34 GMT 2022","Mon Nov 14 11:46:34 GMT 2022","139","Connectors",".then()","","","","yields the original subject without return",""
"passed","Mon Nov 14 11:45:32 GMT 2022","Mon Nov 14 11:45:33 GMT 2022","817","","empty spec","","","","passes",""
"passed","Mon Nov 14 11:47:45 GMT 2022","Mon Nov 14 11:47:46 GMT 2022","711","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Mon Nov 14 11:46:02 GMT 2022","Mon Nov 14 11:46:02 GMT 2022","243","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Mon Nov 14 11:47:14 GMT 2022","Mon Nov 14 11:47:14 GMT 2022","264","","Location","","","","cy.location() - get window.location",""
"passed","Mon Nov 14 11:46:24 GMT 2022","Mon Nov 14 11:46:24 GMT 2022","169","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Mon Nov 14 11:48:35 GMT 2022","Mon Nov 14 11:48:38 GMT 2022","3324","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Mon Nov 14 11:47:22 GMT 2022","Mon Nov 14 11:47:26 GMT 2022","3516","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Mon Nov 14 11:45:57 GMT 2022","Mon Nov 14 11:45:58 GMT 2022","293","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Mon Nov 14 11:47:46 GMT 2022","Mon Nov 14 11:47:48 GMT 2022","1523","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Mon Nov 14 11:47:35 GMT 2022","Mon Nov 14 11:47:36 GMT 2022","503","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Mon Nov 14 11:47:22 GMT 2022","Mon Nov 14 11:47:22 GMT 2022","142","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Mon Nov 14 11:48:18 GMT 2022","Mon Nov 14 11:48:18 GMT 2022","220","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Mon Nov 14 11:46:58 GMT 2022","Mon Nov 14 11:46:58 GMT 2022","558","","Files","","","","cy.fixture() - load a fixture",""
"passed","Mon Nov 14 11:46:49 GMT 2022","Mon Nov 14 11:46:49 GMT 2022","411","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Mon Nov 14 11:48:17 GMT 2022","Mon Nov 14 11:48:17 GMT 2022","214","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Mon Nov 14 11:48:07 GMT 2022","Mon Nov 14 11:48:07 GMT 2022","23","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","181","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Mon Nov 14 11:45:54 GMT 2022","Mon Nov 14 11:45:54 GMT 2022","639","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Mon Nov 14 11:45:40 GMT 2022","Mon Nov 14 11:45:41 GMT 2022","630","","example to-do app","","","","displays two todo items by default",""
"passed","Mon Nov 14 11:48:16 GMT 2022","Mon Nov 14 11:48:16 GMT 2022","204","","Traversal","","","",".last() - get last DOM element",""
"passed","Mon Nov 14 11:48:58 GMT 2022","Mon Nov 14 11:48:58 GMT 2022","208","","Window","","","","cy.document() - get the document object",""
"passed","Mon Nov 14 11:46:23 GMT 2022","Mon Nov 14 11:46:23 GMT 2022","205","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Mon Nov 14 11:46:49 GMT 2022","Mon Nov 14 11:46:49 GMT 2022","152","","Cypress.Cookies","","","",".preserveOnce() - preserve cookies by key",""
"passed","Mon Nov 14 11:47:43 GMT 2022","Mon Nov 14 11:47:44 GMT 2022","707","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Mon Nov 14 11:48:15 GMT 2022","Mon Nov 14 11:48:15 GMT 2022","263","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Mon Nov 14 11:45:55 GMT 2022","Mon Nov 14 11:45:57 GMT 2022","2636","","Actions","","","",".click() - click on a DOM element",""
"passed","Mon Nov 14 11:48:06 GMT 2022","Mon Nov 14 11:48:06 GMT 2022","145","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Mon Nov 14 11:48:17 GMT 2022","Mon Nov 14 11:48:17 GMT 2022","158","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Mon Nov 14 11:45:53 GMT 2022","Mon Nov 14 11:45:54 GMT 2022","499","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Mon Nov 14 11:48:06 GMT 2022","Mon Nov 14 11:48:07 GMT 2022","397","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Mon Nov 14 11:48:14 GMT 2022","Mon Nov 14 11:48:14 GMT 2022","579","","Traversal","","","",".children() - get child DOM elements",""
"passed","Mon Nov 14 11:45:54 GMT 2022","Mon Nov 14 11:45:55 GMT 2022","488","","Actions","","","",".submit() - submit a form",""
"passed","Mon Nov 14 11:46:49 GMT 2022","Mon Nov 14 11:46:50 GMT 2022","140","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Mon Nov 14 11:47:35 GMT 2022","Mon Nov 14 11:47:35 GMT 2022","524","","Navigation","","","","cy.reload() - reload the page",""
"passed","Mon Nov 14 11:46:51 GMT 2022","Mon Nov 14 11:46:51 GMT 2022","157","","Cypress.version","","","","Get current version of Cypress being run",""
